placement,lat,lng,altitude,speed,rpm,payload,accelleration,odometer,fuelRate,totalFuel,accelerator,brakePressure,brakeSwitch,parkingSwitch,gear,distanceTraveled,fuelConsumed,travelTime,emission,speedLimit,timestamp,brake,fuelConsumed_noRound,instFuel
"{'x': 292.7735290527344, 'y': 435.6712341308594, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013675556692760438, 'roll': -8.750231063459069e-05}",49.38481469541404,7.604097708832711,435.7,0.0,600.0,24.514,"{'x': -9.334981e-05, 'y': 0.000888121431, 'z': 0.000100875055}",683256.063,432.0,855.2073,0.0,100.0,1,1,1,0.0,0.0,1,1123.2,80,37621,0,0.0,432.0
"{'x': 292.7735290527344, 'y': 435.6712341308594, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013675556692760438, 'roll': -8.750231063459069e-05}",49.38481469541404,7.604097708832711,435.7,0.0,600.0,24.514,"{'x': -0.000171506792, 'y': 0.0009553584, 'z': -1.021196e-05}",683256.063,432.5,855.2068,0.0,100.0,1,1,1,0.0,0.0,2,1124.5,80,37622,0,0.0004999999999881,432.5
"{'x': 292.7735290527344, 'y': 435.6712341308594, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013675556692760438, 'roll': -8.750231063459069e-05}",49.38481469541404,7.604097708832711,435.7,0.0,600.0,24.514,"{'x': -0.000130734144, 'y': 0.0009423046, 'z': 2.667553e-05}",683256.063,433.0,855.2062,0.0,100.0,1,1,1,0.0,0.001,3,1125.8,80,37623,0,0.0011000000000649,433.0
"{'x': 292.7735290527344, 'y': 435.6712341308594, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013664172729477286, 'roll': -9.031027730088681e-05}",49.38481469541404,7.604097708832711,435.7,0.0,600.0,24.514,"{'x': 0.000237676286, 'y': 0.00131371594, 'z': 5.41524823e-05}",683256.063,434.0,855.2058,0.0,100.0,1,1,1,0.0,0.002,4,1128.4,80,37624,0,0.0015000000000782,434.0
"{'x': 292.7735290527344, 'y': 435.6712646484375, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013664172729477286, 'roll': -9.031027730088681e-05}",49.38481469541404,7.604097708832711,435.7,0.0,600.0,24.514,"{'x': 2.65013332e-05, 'y': 0.001417879, 'z': 1.98635134e-05}",683256.063,434.5,855.2053,0.0,100.0,1,1,1,0.0,0.002,5,1129.7,80,37625,0,0.0020000000000663,434.5
"{'x': 292.7735290527344, 'y': 435.6712646484375, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013664172729477286, 'roll': -8.750231063459069e-05}",49.38481469541404,7.604097708832711,435.7,0.0,600.0,24.514,"{'x': -0.00209498638, 'y': -0.00351212942, 'z': 0.0001084666}",683256.063,435.0,855.2047,0.0,100.0,1,1,1,0.0,0.003,6,1131.0,80,37626,0,0.0026000000000294,435.0
"{'x': 292.7735290527344, 'y': 435.6712341308594, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013664172729477286, 'roll': -8.750231063459069e-05}",49.38481469541404,7.604097708832711,435.7,0.0,600.0,24.514,"{'x': 0.0006262801, 'y': 0.001050848, 'z': -1.0491347e-05}",683256.063,435.5,855.2042,0.0,100.0,1,1,1,0.0,0.003,7,1132.3,80,37627,0,0.0031000000000176,435.5
"{'x': 292.7735290527344, 'y': 435.6712341308594, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013664172729477286, 'roll': -8.750231063459069e-05}",49.38481469541404,7.604097708832711,435.7,0.0,600.0,24.514,"{'x': -0.000335795543, 'y': 0.0009818226, 'z': -1.270148e-05}",683256.063,436.0,855.2037,0.0,100.0,1,1,1,0.0,0.004,8,1133.6000000000001,80,37628,0,0.0036000000000058,436.0
"{'x': 292.7735290527344, 'y': 435.6712341308594, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013664172729477286, 'roll': -8.750231063459069e-05}",49.38481469541404,7.604097708832711,435.7,0.0,600.0,24.514,"{'x': -9.20286839e-05, 'y': 0.00103958149, 'z': -9.478316e-05}",683256.063,51.033069249632575,855.2032,0.34435641654419213,100.0,1,1,1,0.0,0.004,9,132.6859800490447,80,37629,0,0.0040999999999939,51.033069249632575
"{'x': 292.7735290527344, 'y': 435.6712341308594, 'z': -20380.920013427734, 'heading': 0.5500834584236145, 'pitch': -0.00013664172729477286, 'roll': -8.750231063459069e-05}",49.38481469541404,7.604097708832711,435.7,0.6510197062258797,600.0,24.514,"{'x': -8.27802942e-05, 'y': 0.00104592962, 'z': 6.524215e-05}",683256.0631808388,51.09817122025517,855.2026,0.34435641654419213,100.0,1,1,1,0.00018083886243402958,0.005,10,132.85524517266344,80,37630,0,0.0047000000000707,51.09817122025517
