placement,lat,lng,altitude,speed,rpm,payload,accelleration,odometer,fuelRate,totalFuel,accelerator,brakePressure,brakeSwitch,parkingSwitch,gear,distanceTraveled,fuelConsumed,travelTime,emission,speedLimit,timestamp,brake,fuelConsumed_noRound,instFuel
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,600.0,21.5,"{'x': 0.00014665474, 'y': -0.0003816159, 'z': -4.527744e-05}",411339.2,436.0,362.4875,0.0,100.0,1,0,1,0.0,0.0,1,1133.6000000000001,50,58801,28,0.0,436.0
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,600.0,21.5,"{'x': 8.826324e-05, 'y': -0.000397978147, 'z': 5.652339e-06}",411339.2,436.5,362.4869,0.0,100.0,1,0,1,0.0,0.001,2,1134.9,50,58802,28,0.0006000000000199,436.5
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,600.0,21.5,"{'x': 6.0321654e-05, 'y': -0.000398603966, 'z': -1.44599835e-06}",411339.2,437.0,362.4862,0.0,100.0,1,0,1,0.0,0.001,3,1136.2,50,58803,28,0.0013000000000147,437.0
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,600.0,21.5,"{'x': 6.302124e-05, 'y': -0.0004000346, 'z': 3.621763e-06}",411339.2,437.5,362.4855,0.0,100.0,1,0,1,0.0,0.002,4,1137.5,50,58804,28,0.0020000000000095,437.5
"{'x': 16342.400665283203, 'y': 475.7210998535156, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,600.0,21.5,"{'x': 0.000125396589, 'y': 0.00721881539, 'z': 0.000531423429}",411339.2,438.5,362.4848,0.0,100.0,1,0,1,0.0,0.003,5,1140.1000000000001,50,58805,28,0.0027000000000043,438.5
"{'x': 16342.400665283203, 'y': 475.72113037109375, 'z': -15169.704193115234, 'heading': 0.5977070927619934, 'pitch': 0.0047922502271831036, 'roll': 2.4209224648075178e-05}",49.33800176134727,7.82475398768363,475.7,-0.0,600.0,21.5,"{'x': -9.677497e-05, 'y': 0.00130564917, 'z': -0.0002517438}",411339.2,439.0,362.4841,0.0,100.0,1,0,1,0.0,0.003,6,1141.4,50,58806,28,0.0033999999999991,439.0
"{'x': 16342.39682006836, 'y': 475.72088623046875, 'z': -15169.70947265625, 'heading': 0.5977071523666382, 'pitch': 0.004786330740898848, 'roll': 1.9921384591725655e-05}",49.33800180877398,7.824753934818178,475.7,0.0,600.0,21.5,"{'x': 0.0003709838, 'y': 0.00586245675, 'z': 0.06375287}",411339.1999722222,472.49,362.4832,11.0,100.0,1,0,3,-2.7777801733464003e-05,0.004,7,1228.4740000000002,50,58807,0,0.0043000000000006,472.49
"{'x': 16342.495788574219, 'y': 475.7310485839844, 'z': -15169.567474365234, 'heading': 0.597655713558197, 'pitch': 0.005625798832625151, 'roll': 2.06044023798313e-05}",49.33800053318746,7.824755295474226,475.7,1.9,600.0,21.5,"{'x': 0.00480967, 'y': -0.0375776552, 'z': -1.03471243}",411339.20050000004,701.19,362.4784,87.0,100.0,1,0,3,0.0005000000237487257,0.009,8,1823.0940000000003,50,58808,0,0.0090999999999894,701.19
"{'x': 16343.225372314453, 'y': 475.7761535644531, 'z': -15168.52212524414, 'heading': 0.5973731279373169, 'pitch': 0.0065224128775298595, 'roll': 0.00012229832645971328}",49.33799114269949,7.824765326064461,475.8,6.9,1378.0,21.5,"{'x': 0.0373131745, 'y': -0.0384984054, 'z': -1.67157018}",411339.20241666667,696.69,362.4671,85.0,100.0,1,0,3,0.0024166666553355753,0.02,9,1811.3940000000002,50,58809,0,0.020399999999995,696.69
"{'x': 16344.697479248047, 'y': 475.8669738769531, 'z': -15166.312591552734, 'heading': 0.5943194627761841, 'pitch': 0.0063322680070996284, 'roll': 0.00032617946271784604}",49.33797129421143,7.824785565141374,475.9,10.3,1243.0,21.5,"{'x': -0.00152993808, 'y': 0.009878954, 'z': -0.310079455}",411339.2052777778,485.53,362.4637,14.0,100.0,1,0,5,0.005277777789160609,0.024,10,1262.378,50,58810,0,0.0237999999999942,485.53
"{'x': 16346.426147460938, 'y': 476.0002136230469, 'z': -15163.585510253906, 'heading': 0.5907770991325378, 'pitch': 0.007364537566900253, 'roll': 0.000449084909632802}",49.33794679653537,7.824809331518748,476.0,12.4,1453.0,21.5,"{'x': -0.130761325, 'y': -0.0550206676, 'z': -0.7540807}",411339.20872222225,445.24,362.4512,0.0,100.0,1,0,5,0.008722222235519439,0.036,11,1157.624,50,58811,0,0.0363000000000397,445.24
"{'x': 16348.450744628906, 'y': 476.1649475097656, 'z': -15160.450073242188, 'heading': 0.5915359258651733, 'pitch': 0.0075385551899671555, 'roll': 0.0009207853581756353}",49.33791863055431,7.824837166438118,476.2,13.0,1021.0,21.5,"{'x': -0.0580237247, 'y': 0.01496356, 'z': 0.09041837}",411339.21233333333,542.3,362.4498,32.0,100.0,1,0,7,0.01233333331765607,0.038,12,1409.98,50,58812,0,0.0377000000000293,542.3
"{'x': 16350.543273925781, 'y': 476.3454895019531, 'z': -15157.351013183594, 'heading': 0.5943917632102966, 'pitch': 0.008025472052395344, 'roll': 0.0015123176854103804}",49.33789079135149,7.824865935313813,476.3,13.0,1021.0,21.5,"{'x': -0.0512666665, 'y': -0.009899095, 'z': -0.0186925456}",411339.21594444447,525.8,362.444,26.0,100.0,1,0,7,0.015944444458000362,0.043,13,1367.08,50,58813,0,0.0434999999999945,525.8
"{'x': 16352.688079833984, 'y': 476.5342712402344, 'z': -15154.291564941406, 'heading': 0.596879780292511, 'pitch': 0.00841524824500084, 'roll': 0.0021603128407150507}",49.33786330798603,7.82489542290792,476.5,12.9,1011.0,21.5,"{'x': -0.006780136, 'y': 0.00446264446, 'z': 0.0705592}",411339.2195277778,520.79,362.4391,24.0,100.0,1,0,7,0.01952777779661119,0.048,14,1354.0539999999999,50,58814,0,0.0484000000000151,520.79
"{'x': 16354.799255371094, 'y': 476.7274169921875, 'z': -15151.296936035156, 'heading': 0.5977361798286438, 'pitch': 0.008674529381096363, 'roll': 0.002759054768830538}",49.33783640689991,7.824924448139102,476.7,12.6,984.0,21.5,"{'x': -0.004453505, 'y': 0.0235181786, 'z': 0.108988613}",411339.2230277778,521.76,362.4344,24.0,100.0,1,0,7,0.023027777788229287,0.053,15,1356.576,50,58815,0,0.053100000000029,521.76
"{'x': 16356.859283447266, 'y': 476.91766357421875, 'z': -15148.415710449219, 'heading': 0.5987661480903625, 'pitch': 0.008798042312264442, 'roll': 0.003153725992888212}",49.3378105245285,7.824952770175854,476.9,12.1,947.0,21.5,"{'x': -0.02617516, 'y': -0.000719235046, 'z': 0.13154152}",411339.2263888889,519.71,362.4299,23.0,100.0,1,0,7,0.026388888887595385,0.058,16,1351.246,50,58816,0,0.0576000000000362,519.71
"{'x': 16358.870330810547, 'y': 477.0992126464844, 'z': -15145.67642211914, 'heading': 0.6005927324295044, 'pitch': 0.008665119297802448, 'roll': 0.003404925111681223}",49.33778591719531,7.82498041880744,477.1,11.5,932.0,21.5,"{'x': -0.0514609627, 'y': -0.008954306, 'z': 0.201290384}",411339.22958333336,592.65,362.4262,47.0,100.0,1,0,7,0.029583333351183683,0.061,17,1540.89,50,58817,0,0.061300000000017,592.65
"{'x': 16360.759307861328, 'y': 477.2611389160156, 'z': -15143.1904296875, 'heading': 0.6029587388038635, 'pitch': 0.008335410617291927, 'roll': 0.0036997615825384855}",49.33776358524749,7.825006389170697,477.3,10.2,1237.0,21.5,"{'x': -0.0117412983, 'y': 0.00501251128, 'z': 0.33181408}",411339.2324166667,543.02,362.4204,30.0,100.0,1,0,5,0.03241666668327525,0.067,18,1411.852,50,58818,0,0.067100000000039,543.02
"{'x': 16362.55648803711, 'y': 477.41168212890625, 'z': -15140.912292480469, 'heading': 0.6055414080619812, 'pitch': 0.008650547824800014, 'roll': 0.0039027698803693056}",49.33774312048638,7.82503109747617,477.4,10.3,1629.4847850358383,21.5,"{'x': -0.0156565718, 'y': -0.008025152, 'z': -0.367070228}",411339.23527777777,634.03,362.4109,60.0,100.0,1,0,5,0.035277777758892626,0.077,19,1648.478,50,58819,0,0.0765999999999849,634.03
"{'x': 16364.686553955078, 'y': 477.5824279785156, 'z': -15138.273254394531, 'heading': 0.6077408194541931, 'pitch': 0.008662007749080658, 'roll': 0.003907171543687582}",49.33771941371234,7.825060382419376,477.6,12.7,1836.4847850358383,21.5,"{'x': 0.023380572, 'y': -0.007767195, 'z': -0.6139192}",411339.23880555556,455.77,362.3981,0.0,100.0,1,0,5,0.038805555552244186,0.089,20,1185.002,50,58820,0,0.0894000000000119,455.77
"{'x': 16367.020111083984, 'y': 477.76397705078125, 'z': -15135.427276611328, 'heading': 0.6091970205307007, 'pitch': 0.008410808630287647, 'roll': 0.003739376552402973}",49.33769384797588,7.825092465035887,477.8,12.8,1605.4847850358383,21.5,"{'x': 0.0115643973, 'y': 0.0163238533, 'z': 0.190322191}",411339.2423611111,556.28,362.3953,33.0,100.0,1,0,6,0.04236111108912155,0.092,21,1446.328,50,58821,0,0.0921999999999911,556.28
"{'x': 16369.382049560547, 'y': 477.9598693847656, 'z': -15132.6064453125, 'heading': 0.6107708811759949, 'pitch': 0.008852570317685604, 'roll': 0.0035507495049387217}",49.33766850813309,7.825124937849784,478.0,12.4,1557.4847850358383,21.5,"{'x': -0.007704243, 'y': -0.0238135159, 'z': 0.1343784}",411339.24580555555,524.74,362.3893,22.0,100.0,1,0,6,0.04580555553548038,0.098,22,1364.324,50,58822,0,0.0982000000000198,524.74
"{'x': 16371.64712524414, 'y': 478.14959716796875, 'z': -15129.962493896484, 'heading': 0.6124690175056458, 'pitch': 0.00881868414580822, 'roll': 0.003134904894977808}",49.33764475722206,7.825156078957762,478.1,11.3,1446.4847850358383,21.5,"{'x': -0.000817216234, 'y': -0.0018415954, 'z': 0.455655456}",411339.24894444447,459.63,362.3868,0.0,100.0,1,0,6,0.04894444445380941,0.101,23,1195.038,50,58823,0,0.1007000000000175,459.63
